,id,Name,Birth Date,Country of Origin,Hat,Hat Brand,Hat Colour,Glasses,Glasses Brand,Glasses Colour,Shirt,Shirt brand,Shirt colour,Jeans,Jeans brand,Jeans colour,Bag,Bag Brand,Bag Colour,Cane,Shoes,Shoes Brand,Shoes colour
31,32,Wanda,27/12/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Reebok,Brown
32,33,Winona,08/04/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Nike,Brown
33,34,Winona,20/11/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Converse,Brown
34,35,Winston,20/04/1987,Japan,Bobble hat,Barts,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Converse,Brown
35,36,Walter,24/04/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Converse,Brown
36,37,Wilhelm,19/11/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Jordan,Brown
37,38,Winona,21/11/1987,China,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Skechers,Brown
38,39,Wesley,28/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Converse,Brown
39,40,Wallace,29/07/1987,Germany,Bobble hat,Barts,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Adidas,Brown
40,41,Wayne,06/02/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
41,42,Wallace,27/06/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
42,43,Wanda,06/03/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Nike,Brown
43,44,Wendy,24/07/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Nike,Brown
44,45,Walter,26/04/1987,China,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
45,46,Wilhelm,10/01/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
46,47,Weston,07/04/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
47,48,Wayne,24/04/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
48,49,Walter,30/05/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
49,50,Weston,26/09/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Nike,Brown
50,51,Winona,08/06/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Reebok,Brown
51,52,Wallace,17/05/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Nike,Brown
52,53,Winona,18/03/1987,United Kingdom,Bobble hat,Fjällräven,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Reebok,Brown
53,54,Wren,05/02/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
54,55,Wayne,18/06/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Reebok,Brown
55,56,Winona,21/06/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
56,57,Winona,03/12/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Skechers,Brown
57,58,Winston,19/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
58,59,Winona,20/05/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Under Armour,Brown
59,60,Winifred,23/07/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Versace,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Skechers,Brown
60,61,Wesley,25/12/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
61,62,Winston,27/02/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
62,63,Wyatt,14/05/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
63,64,Wanda,01/03/1987,Brazil,Bobble hat,Columbia,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
64,65,Wayne,30/07/1987,Australia,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,New Balance,Brown
65,66,Whitley,19/06/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
66,67,Winona,25/11/1987,Japan,Bobble hat,Beanie Babies,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
67,68,Walter,27/02/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
68,69,Wallace,25/09/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Converse,Brown
69,70,Winston,15/01/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
70,71,Wesley,31/01/1987,United States,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Under Armour,Brown
71,72,Winona,11/02/1987,China,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
72,73,Winona,28/04/1987,India,Bobble hat,Barts,Red and white,Round Glasses,Versace,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Converse,Brown
73,74,Wallace,29/08/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
74,75,Wren,12/04/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Skechers,Brown
75,76,Winona,18/07/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Under Armour,Brown
76,77,Wilhelm,08/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Adidas,Brown
77,78,Wallace,22/07/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
78,79,Winston,11/10/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
79,80,Winona,16/08/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
80,81,Wallace,17/11/1987,France,Bobble hat,Carhartt,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,New Balance,Brown
81,82,Walter,09/01/1987,China,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
82,83,Wanda,28/12/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
83,84,Wallace,19/08/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
84,85,Wesley,27/06/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Skechers,Brown
85,86,Winona,21/12/1987,United Kingdom,Bobble hat,Fjällräven,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
86,87,Wanda,09/10/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
87,88,Winona,22/02/1987,India,Bobble hat,The North Face,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Under Armour,Brown
88,89,Weston,14/05/1987,India,Bobble hat,Barts,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Converse,Brown
89,90,Wayne,04/07/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Converse,Brown
90,91,Winona,04/04/1987,Canada,Bobble hat,Patagonia,Red and white,Round Glasses,Gucci,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
91,92,Winona,11/11/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
92,93,Walter,28/04/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
93,94,Wallace,19/09/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
94,95,Wanda,13/12/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
95,96,Warren,02/03/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
96,97,Wesley,20/04/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Nike,Brown
97,98,Walter,22/10/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Skechers,Brown
98,99,Wallace,06/04/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
99,100,Winona,06/08/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
100,101,Weston,17/11/1987,United States,Bobble hat,Canada Goose,Red and white,Round Glasses,Prada,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,New Balance,Brown
